model,step,loss,rolling_loss,correct,running_accuracy,window_accuracy,category,target_index,name,predicted_category,predicted_index
RNN,1,2.99587082862854,2.99587082862854,0,0.0,0.0,Dutch,3,Kees de Jong,French,5
RNN,2,2.9143922328948975,2.9551315307617188,0,0.0,0.0,Irish,8,Liam Walsh,French,5
RNN,3,2.9153316020965576,2.9418648878733316,0,0.0,0.0,Greek,7,Ευάγγελος Παπαδάκης,German,6
RNN,4,3.0308499336242676,2.9641111493110657,0,0.0,0.0,Dutch,3,Ruben Smit,German,6
RNN,5,2.9142239093780518,2.954133701324463,0,0.0,0.0,Vietnamese,17,Trần Cường,Japanese,10
RNN,6,2.8955655097961426,2.9443723360697427,0,0.0,0.0,Portuguese,13,Jorge Silva,German,6
RNN,7,2.859241485595703,2.932210786002023,0,0.0,0.0,Arabic,0,عمر الخطيب,French,5
RNN,8,2.7366583347320557,2.907766729593277,1,0.125,0.125,German,6,Hannah Schneider,German,6
RNN,9,3.005697250366211,2.9186478985680475,0,0.1111111111111111,0.1111111111111111,Spanish,16,Miguel Pérez,German,6
RNN,10,2.9389681816101074,2.9206799268722534,0,0.1,0.1,Arabic,0,عمر المالكي,German,6
RNN,11,2.771273136138916,2.907097491351041,1,0.18181818181818182,0.18181818181818182,German,6,Wolfgang Hoffmann,German,6
RNN,12,2.8940658569335938,2.9060115218162537,0,0.16666666666666666,0.16666666666666666,Vietnamese,17,Huỳnh Hoàng,French,5
RNN,13,2.940702199935913,2.908680035517766,0,0.15384615384615385,0.15384615384615385,Greek,7,Στέφανος Αθανασίου,German,6
RNN,14,2.9558637142181396,2.9120502982820784,0,0.14285714285714285,0.14285714285714285,Irish,8,Patrick Murphy,German,6
RNN,15,2.8013124465942383,2.904667774836222,0,0.13333333333333333,0.13333333333333333,French,5,Jean-Luc d'Aubigné,German,6
RNN,16,2.8366472721099854,2.9004164934158325,0,0.125,0.125,Portuguese,13,Rui Oliveira,German,6
RNN,17,2.909256935119629,2.900936519398409,0,0.11764705882352941,0.11764705882352941,Irish,8,Aoife Kelly,German,6
RNN,18,2.759321689605713,2.89306902885437,1,0.16666666666666666,0.16666666666666666,German,6,Maximilian Hoffmann,German,6
RNN,19,2.827752113342285,2.8896312964589974,0,0.15789473684210525,0.15789473684210525,Japanese,10,鈴木翔,German,6
RNN,20,2.894925594329834,2.889896011352539,0,0.15,0.15,Czech,2,Štěpán Černý,German,6
RNN,21,3.00941801071167,2.895587535131545,0,0.14285714285714285,0.14285714285714285,Dutch,3,Sander van Dijk,German,6
RNN,22,2.9510765075683594,2.8981097611514004,0,0.13636363636363635,0.13636363636363635,Korean,11,윤수빈,German,6
RNN,23,2.9155731201171875,2.898869037628174,0,0.13043478260869565,0.13043478260869565,Irish,8,Brendan Murphy,German,6
RNN,24,2.8897759914398193,2.898490160703659,0,0.125,0.125,Russian,14,Роман Васильев,German,6
RNN,25,2.9907944202423096,2.9021823310852053,0,0.12,0.12,Dutch,3,Finn van Dijk,German,6
RNN,26,2.870975971221924,2.900982086475079,0,0.11538461538461539,0.11538461538461539,Czech,2,Petr Veselý,German,6
RNN,27,2.9076056480407715,2.9012274035701044,0,0.1111111111111111,0.1111111111111111,Italian,9,Alessandro Marino,French,5
RNN,28,2.9046385288238525,2.9013492294720242,0,0.10714285714285714,0.10714285714285714,Korean,11,윤상현,German,6
RNN,29,2.750929832458496,2.896162353712937,1,0.13793103448275862,0.13793103448275862,German,6,Hans Hoffmann,German,6
RNN,30,2.924548864364624,2.8971085707346598,0,0.13333333333333333,0.13333333333333333,Czech,2,Marek Novák,German,6
RNN,31,2.9144575595855713,2.897668215536302,0,0.12903225806451613,0.12903225806451613,Greek,7,Ελένη Σταυρίδης,German,6
RNN,32,2.932894229888916,2.8987690284848213,0,0.125,0.125,Italian,9,Alessandro Russo,Portuguese,13
RNN,33,2.8919003009796143,2.898560885227088,0,0.12121212121212122,0.12121212121212122,Greek,7,Αλέξανδρος Παπαδάκης,German,6
RNN,34,2.905994415283203,2.8987795184640324,0,0.11764705882352941,0.11764705882352941,Polish,12,Wojciech Wójcik,German,6
RNN,35,2.9109888076782227,2.8991283552987235,0,0.11428571428571428,0.11428571428571428,Russian,14,Андрей Михайлов,Japanese,10
RNN,36,2.8924944400787354,2.898944079875946,0,0.1111111111111111,0.1111111111111111,Korean,11,박지훈,Japanese,10
RNN,37,2.8629441261291504,2.8979711081530595,0,0.10810810810810811,0.10810810810810811,Korean,11,정서준,German,6
RNN,38,2.704677104949951,2.892884423858241,1,0.13157894736842105,0.13157894736842105,German,6,Matthias Schulz,German,6
RNN,39,2.7959823608398438,2.890399755575718,0,0.1282051282051282,0.1282051282051282,Irish,8,Aoife O'Connor,German,6
RNN,40,2.8428409099578857,2.889210784435272,0,0.125,0.125,Czech,2,Daniel Veselý,German,6
RNN,41,2.7925922870635986,2.8868542357188898,0,0.12195121951219512,0.12195121951219512,French,5,Noël Durand,German,6
RNN,42,2.9133949279785156,2.887486156963167,0,0.11904761904761904,0.11904761904761904,Greek,7,Δημήτριος Γεωργίου,German,6
RNN,43,2.8949971199035645,2.8876608305199203,0,0.11627906976744186,0.11627906976744186,Russian,14,Роман Кузнецов,Korean,11
RNN,44,2.7769501209259033,2.885144678029147,0,0.11363636363636363,0.11363636363636363,Irish,8,Conor O'Connor,German,6
RNN,45,2.9354732036590576,2.8862630897098116,0,0.1111111111111111,0.1111111111111111,Vietnamese,17,Lê Phong,French,5
RNN,46,2.8821067810058594,2.8861727351727695,0,0.10869565217391304,0.10869565217391304,Japanese,10,加藤悠斗,Greek,7
RNN,47,2.981046438217163,2.8881913245992457,0,0.10638297872340426,0.10638297872340426,Chinese,1,张霞,German,6
RNN,48,2.994567632675171,2.8904074976841607,0,0.10416666666666667,0.10416666666666667,Chinese,1,陈伟,Japanese,10
RNN,49,2.896989107131958,2.89054181624432,0,0.10204081632653061,0.10204081632653061,Polish,12,Jakub Wójcik,German,6
RNN,50,2.8627843856811523,2.889986667633057,0,0.1,0.1,Czech,2,Filip Novotný,French,5
RNN,51,2.8629586696624756,2.8873284244537354,0,0.09803921568627451,0.1,Japanese,10,高橋誠,German,6
RNN,52,2.966001272201538,2.888360605239868,0,0.09615384615384616,0.1,Scottish,15,Angus Murray,German,6
RNN,53,2.900460958480835,2.8880631923675537,0,0.09433962264150944,0.1,Russian,14,Павел Петров,Japanese,10
RNN,54,2.8584353923797607,2.8846149015426636,0,0.09259259259259259,0.1,Irish,8,Michael Kelly,German,6
RNN,55,2.8845138549804688,2.884020700454712,0,0.09090909090909091,0.1,Greek,7,Μιχάλης Σταυρίδης,German,6
RNN,56,2.9568581581115723,2.8852465534210205,0,0.08928571428571429,0.1,Vietnamese,17,Phan Quân,German,6
RNN,57,2.8442680835723877,2.884947085380554,0,0.08771929824561403,0.1,Irish,8,Brendan Kennedy,German,6
RNN,58,2.8499228954315186,2.8872123765945434,0,0.08620689655172414,0.08,Portuguese,13,Luís Martins,Irish,8
RNN,59,2.8589653968811035,2.8842777395248413,0,0.0847457627118644,0.08,Polish,12,Grzegorz Kowalczyk,German,6
RNN,60,2.8679776191711426,2.882857928276062,0,0.08333333333333333,0.08,Greek,7,Ευάγγελος Παπαδάκης,German,6
RNN,61,3.0331387519836426,2.8880952405929565,0,0.08196721311475409,0.06,Spanish,16,Fernando Sánchez,German,6
RNN,62,2.8937628269195557,2.888089179992676,0,0.08064516129032258,0.06,Czech,2,Adam Němec,German,6
RNN,63,2.9454293251037598,2.8881837224960325,0,0.07936507936507936,0.06,Chinese,1,李军,German,6
RNN,64,2.9379076957702637,2.887824602127075,0,0.078125,0.06,English,4,James Taylor,German,6
RNN,65,2.8095498085021973,2.887989349365234,0,0.07692307692307693,0.06,French,5,Mathieu d'Aubigné,German,6
RNN,66,2.835052967071533,2.887957463264465,0,0.07575757575757576,0.06,Portuguese,13,Diogo Martins,French,5
RNN,67,2.813910722732544,2.8860505390167237,0,0.07462686567164178,0.06,Czech,2,Břetislav Černý,German,6
RNN,68,2.903719663619995,2.8889384984970095,0,0.07352941176470588,0.04,Polish,12,Grzegorz Zieliński,Portuguese,13
RNN,69,2.8653812408447266,2.889691081047058,0,0.07246376811594203,0.04,Russian,14,Олег Васильев,German,6
RNN,70,2.741664171218872,2.8866258525848387,0,0.07142857142857142,0.04,Irish,8,Patrick Gallagher,German,6
RNN,71,2.932810068130493,2.8850936937332152,0,0.07042253521126761,0.04,Arabic,0,ماجد الشمري,German,6
RNN,72,3.0415563583374023,2.886903290748596,0,0.06944444444444445,0.04,Dutch,3,Lucas Smit,German,6
RNN,73,2.920137882232666,2.8869945859909056,0,0.0684931506849315,0.04,Vietnamese,17,Đặng Long,Irish,8
