model,step,loss,rolling_loss,correct,running_accuracy,window_accuracy,category,target_index,name,predicted_category,predicted_index
RNN,1,2.97760009765625,2.97760009765625,0,0.0,0.0,Dutch,3,Kees de Jong,Portuguese,13
RNN,2,2.9602999687194824,2.968950033187866,0,0.0,0.0,Irish,8,Liam Walsh,Portuguese,13
RNN,3,2.806596279144287,2.91483211517334,0,0.0,0.0,Greek,7,Ευάγγελος Παπαδάκης,Portuguese,13
RNN,4,2.8894388675689697,2.9084838032722473,0,0.0,0.0,Dutch,3,Ruben Smit,Greek,7
RNN,5,2.9497790336608887,2.9167428493499754,0,0.0,0.0,Vietnamese,17,Trần Cường,Portuguese,13
RNN,6,2.684223175048828,2.877989570299784,1,0.16666666666666666,0.16666666666666666,Portuguese,13,Jorge Silva,Portuguese,13
RNN,7,2.9052257537841797,2.881880453654698,0,0.14285714285714285,0.14285714285714285,Arabic,0,عمر الخطيب,Portuguese,13
RNN,8,3.0871458053588867,2.9075386226177216,0,0.125,0.125,German,6,Hannah Schneider,English,4
RNN,9,3.030151844024658,2.921162313885159,0,0.1111111111111111,0.1111111111111111,Spanish,16,Miguel Pérez,Portuguese,13
RNN,10,2.902820587158203,2.919328141212463,0,0.1,0.1,Arabic,0,عمر المالكي,English,4
RNN,11,3.0447864532470703,2.9260467767715452,0,0.09090909090909091,0.1,German,6,Wolfgang Hoffmann,Portuguese,13
RNN,12,2.9375767707824707,2.9237744569778443,0,0.08333333333333333,0.1,Vietnamese,17,Huỳnh Hoàng,Portuguese,13
RNN,13,2.7436325550079346,2.917478084564209,0,0.07692307692307693,0.1,Greek,7,Στέφανος Αθανασίου,Portuguese,13
RNN,14,3.0049469470977783,2.9290288925170898,0,0.07142857142857142,0.1,Irish,8,Patrick Murphy,Portuguese,13
RNN,15,2.803445339202881,2.9143955230712892,0,0.06666666666666667,0.1,French,5,Jean-Luc d'Aubigné,Portuguese,13
RNN,16,2.7318062782287598,2.919153833389282,0,0.0625,0.0,Portuguese,13,Rui Oliveira,English,4
RNN,17,2.9907829761505127,2.9277095556259156,0,0.058823529411764705,0.0,Irish,8,Aoife Kelly,Portuguese,13
RNN,18,3.0377933979034424,2.922774314880371,0,0.05555555555555555,0.0,German,6,Maximilian Hoffmann,Portuguese,13
RNN,19,2.9160258769989014,2.9113617181777953,0,0.05263157894736842,0.0,Japanese,10,鈴木翔,Greek,7
RNN,20,2.9011385440826416,2.911193513870239,0,0.05,0.0,Czech,2,Štěpán Černý,Portuguese,13
RNN,21,2.9007925987243652,2.8967941284179686,0,0.047619047619047616,0.0,Dutch,3,Sander van Dijk,French,5
RNN,22,2.900423765182495,2.893078827857971,0,0.045454545454545456,0.0,Korean,11,윤수빈,Portuguese,13
RNN,23,2.960926055908203,2.914808177947998,0,0.043478260869565216,0.0,Irish,8,Brendan Murphy,Portuguese,13
RNN,24,3.0122499465942383,2.915538477897644,0,0.041666666666666664,0.0,Russian,14,Роман Васильев,Portuguese,13
RNN,25,2.880364179611206,2.9232303619384767,0,0.04,0.0,Dutch,3,Finn van Dijk,French,5
RNN,26,2.923975944519043,2.942447328567505,0,0.038461538461538464,0.0,Czech,2,Petr Veselý,Portuguese,13
RNN,27,2.84563946723938,2.9279329776763916,0,0.037037037037037035,0.0,Italian,9,Alessandro Marino,Portuguese,13
RNN,28,2.9829869270324707,2.9224523305892944,0,0.03571428571428571,0.0,Korean,11,윤상현,Portuguese,13
RNN,29,3.0225183963775635,2.9331015825271605,0,0.034482758620689655,0.0,German,6,Hans Hoffmann,Portuguese,13
RNN,30,2.8810994625091553,2.931097674369812,0,0.03333333333333333,0.0,Czech,2,Marek Novák,French,5
