model,step,loss,rolling_loss,correct,running_accuracy,window_accuracy,epoch,validation_accuracy,category,target_index,name,predicted_category,predicted_index
RNN,1,2.8261256217956543,2.8261256217956543,0,0.0,0.0,1,,Japanese,10,中村さくら,French,5
RNN,2,2.789292335510254,2.807708978652954,0,0.0,0.0,1,,Portuguese,13,Francisco Jesus,French,5
RNN,3,2.780200719833374,2.7985395590464273,0,0.0,0.0,1,,Portuguese,13,Manuel Rodrigues,Japanese,10
RNN,4,3.011887550354004,2.8518765568733215,0,0.0,0.0,1,,Spanish,16,Pablo González,Japanese,10
RNN,5,2.9958736896514893,2.8806759834289553,0,0.0,0.0,1,,Spanish,16,Pablo Rodríguez,Japanese,10
RNN,6,2.9416849613189697,2.890844146410624,0,0.0,0.0,1,,Greek,7,Αικατερίνη Βασιλείου,Portuguese,13
RNN,7,2.7469162940979004,2.8702830246516635,0,0.0,0.0,1,,German,6,Matthias Becker,Portuguese,13
RNN,8,3.0471158027648926,2.8923871219158173,0,0.0,0.0,1,,Vietnamese,17,Vũ Linh,Portuguese,13
RNN,9,2.8782401084899902,2.8908152315351696,0,0.0,0.0,1,,Arabic,0,أحمد الخطيب,Portuguese,13
RNN,10,2.7002925872802734,2.8717629671096803,0,0.0,0.0,1,,German,6,Friedrich Weber,Portuguese,13
RNN,11,2.9318435192108154,2.8772248354825107,0,0.0,0.0,1,,Russian,14,Андрей Михайлов,Japanese,10
RNN,12,3.0319039821624756,2.8901147643725076,0,0.0,0.0,1,,Scottish,15,Rory Douglas,Portuguese,13
RNN,13,2.601013660430908,2.8678762179154615,0,0.0,0.0,1,,German,6,Andreas Fischer,Portuguese,13
RNN,14,2.7816476821899414,2.8617170367922102,0,0.0,0.0,1,,Arabic,0,ماجد العتيبي,Portuguese,13
RNN,15,2.9111340045928955,2.8650115013122557,0,0.0,0.0,1,,English,4,Andrew Jones,Portuguese,13
RNN,16,2.8010542392730713,2.861014172434807,0,0.0,0.0,1,,Russian,14,Максим Иванов,Japanese,10
RNN,17,3.169294595718384,2.8791483149808994,0,0.0,0.0,1,,Dutch,3,Jan Meijer,German,6
RNN,18,2.411761999130249,2.853182408544752,1,0.05555555555555555,0.05555555555555555,1,,German,6,Dieter Becker,German,6
RNN,19,2.6444239616394043,2.8421951218655237,0,0.05263157894736842,0.05263157894736842,1,,Arabic,0,يوسف الحسيني,German,6
RNN,20,2.6357805728912354,2.831874394416809,0,0.05,0.05,1,,Arabic,0,حسن الشمري,German,6
RNN,21,3.0845913887023926,2.8439085370018367,0,0.047619047619047616,0.047619047619047616,1,,Chinese,1,李军,German,6
RNN,22,2.4201102256774902,2.8246449773961846,1,0.09090909090909091,0.09090909090909091,1,,German,6,Felix Schulz,German,6
RNN,23,2.5698602199554443,2.8135673792465874,0,0.08695652173913043,0.08695652173913043,1,,Portuguese,13,Miguel Sousa,Arabic,0
RNN,24,2.5219407081604004,2.8014162679513297,0,0.08333333333333333,0.08333333333333333,1,,Russian,14,Андрей Соколов,Arabic,0
RNN,25,3.393585443496704,2.8251030349731447,0,0.08,0.08,1,,Polish,12,Mateusz Nowak,German,6
RNN,26,2.199950695037842,2.8010587142064023,1,0.11538461538461539,0.11538461538461539,1,,Arabic,0,عمر الغامدي,Arabic,0
